time,heart_rate
2024-11-28T10:29:08Z,75
2024-11-28T10:29:23Z,77
2024-11-28T10:29:28Z,76
2024-11-28T10:29:43Z,76
2024-11-28T10:29:48Z,77
2024-11-28T10:29:58Z,78
2024-11-28T10:30:03Z,77
2024-11-28T10:30:08Z,76
2024-11-28T10:30:18Z,77
2024-11-28T10:30:23Z,78
2024-11-28T10:30:38Z,80
2024-11-28T10:30:43Z,81
2024-11-28T10:30:48Z,80
2024-11-28T10:30:53Z,79
2024-11-28T10:30:58Z,78
2024-11-28T10:31:08Z,80
2024-11-28T10:31:13Z,82
2024-11-28T10:31:18Z,81
2024-11-28T10:31:33Z,81
2024-11-28T10:31:38Z,84
2024-11-28T10:31:43Z,83
2024-11-28T10:31:48Z,83
2024-11-28T10:31:58Z,82
2024-11-28T10:32:08Z,81
2024-11-28T10:32:13Z,80
2024-11-28T10:32:18Z,78
2024-11-28T10:32:33Z,79
2024-11-28T10:32:43Z,78
2024-11-28T10:32:48Z,80
2024-11-28T10:32:53Z,79
2024-11-28T10:33:08Z,79
2024-11-28T10:33:13Z,77
2024-11-28T10:33:18Z,76
2024-11-28T10:33:23Z,76
2024-11-28T10:33:28Z,78
2024-11-28T10:33:33Z,80
2024-11-28T10:33:48Z,80
2024-11-28T10:33:58Z,79
2024-11-28T10:34:03Z,78
2024-11-28T10:34:08Z,79
2024-11-28T10:34:13Z,81
2024-11-28T10:34:18Z,80
2024-11-28T10:34:23Z,78
2024-11-28T10:34:28Z,79
2024-11-28T10:34:33Z,78
2024-11-28T10:34:48Z,80
2024-11-28T10:35:03Z,80
2024-11-28T10:35:08Z,81
2024-11-28T10:35:13Z,79
2024-11-28T10:35:18Z,81
2024-11-28T10:35:23Z,82
2024-11-28T10:35:33Z,83
2024-11-28T10:35:48Z,82
2024-11-28T10:35:53Z,79
2024-11-28T10:35:58Z,78
2024-11-28T10:36:08Z,79
2024-11-28T10:36:13Z,80
2024-11-28T10:36:23Z,79
2024-11-28T10:36:28Z,78
2024-11-28T10:36:33Z,79
2024-11-28T10:36:38Z,81
2024-11-28T10:36:43Z,82
2024-11-28T10:36:58Z,81
2024-11-28T10:37:03Z,82
2024-11-28T10:37:08Z,81
2024-11-28T10:37:18Z,83
2024-11-28T10:37:23Z,85
2024-11-28T10:37:28Z,86
2024-11-28T10:37:38Z,85
2024-11-28T10:37:48Z,91
2024-11-28T10:37:53Z,92
2024-11-28T10:38:08Z,92
2024-11-28T10:38:13Z,93
